iter	Passed	Remaining
0	1	111
1	1	94
2	2	86
3	3	79
4	4	77
5	4	75
6	5	74
7	6	76
8	7	76
9	8	76
10	9	75
11	10	74
12	11	73
13	11	72
14	12	72
15	13	72
16	14	71
17	15	71
18	16	70
19	17	70
20	19	72
21	20	73
22	22	73
23	24	78
24	25	77
25	27	79
26	29	80
27	31	80
28	32	80
29	34	81
30	35	80
31	37	80
32	39	80
33	41	80
34	42	79
35	44	79
36	46	78
37	47	76
38	47	74
39	48	73
40	50	71
41	51	71
42	52	70
43	53	68
44	55	67
45	56	66
46	58	66
47	59	64
48	60	63
49	61	61
50	63	61
51	64	59
52	65	57
53	66	56
54	66	54
55	67	53
56	70	53
57	71	51
58	72	50
59	73	48
60	74	47
61	75	46
62	76	44
63	77	43
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	88	27
76	89	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	98	16
86	99	14
87	100	13
88	100	12
89	101	11
90	102	10
91	103	8
92	104	7
93	104	6
94	105	5
95	106	4
96	107	3
97	107	2
98	109	1
99	110	0
